Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Day 1,Day 2,Day 3,Day 4
ASV00002,Bacteria,NA,NA,NA,NA,NA,NA,0.066838266,0.665439676,5.257409727,8.367761353
ASV00146,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,MSBL8,NA,NA,0.029114624,0.003044418,0.208664516,1.027835701
ASV00131,Bacteria,Fibrobacteres,Chitinivibrionia,Chitinivibrionales,Chitinivibrionaceae,Chitinivibrio,NA,0.009373248,0.14682471,0.564754073,0.054482367
ASV00039,Bacteria,Fibrobacteres,Chitinivibrionia,Chitinivibrionales,Chitinivibrionaceae,Chitinivibrio,NA,0.068343728,0.457681319,2.300022401,0.328027244
ASV00057,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA,0.107472139,0.516441974,0.333918909,0.784641108
ASV00018,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA,0.448473647,1.925794839,1.594581449,2.889154868
05_M_antarctica,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,antarctica,0,0,0,0
02_M_ruestringensis,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,ruestringensis,0,0,0,0
ASV00005,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,NA,1.923695412,2.648437874,11.9817112,8.794495925
07_J_marina,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Joostella,marina,0,0,0,0
ASV00011,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,flava,1.028254285,0.919269509,3.942126176,7.634832542
ASV00030,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,NA,0.248017563,0.145281015,0.991022825,1.894433294
08_L_aquatica,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia,aquatica,0,0,0,0
20_G_terrae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,terrae,0,0,0,0
ASV00125,Bacteria,NA,NA,NA,NA,NA,NA,0,0.011872102,0.384959166,1.357168003
ASV00103,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,0.011535854,0.102813058,0.261519583,1.226927551
ASV00034,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,0.031727996,0.141274601,0.791917374,4.695982403
