Group,Control,Control,Control
ASV000001,0.373253334,1.70910836,1.78304496
ASV000002,0.005958055,0.428397656,0.055370986
ASV000003,0,0,0
ASV000004,0,0.084638745,0.204081633
ASV000005,0.003950071,0.000883041,0.37593985
ASV000006,0.003263708,32.52271568,0
ASV000007,0.005958055,0.000825355,0
ASV000008,0.617823736,11.70083651,0
ASV000009,0,0.107701784,0
ASV000010,0,0.199874948,0
ASV000011,0,0.116561438,0
ASV000012,0,0.596941336,0
ASV000013,0,0.012396694,0
ASV000014,0.010651896,0.026802942,0
ASV000015,0,0,0
ASV000016,0,0.023935292,0
ASV000017,0.503055906,0.042385977,0
ASV000018,0,0.059469208,0
ASV000019,0,0.049744139,0.145772595
ASV000020,0,0,0
ASV000021,0,0,0
ASV000022,0,0.168699534,0
ASV000023,0.003950071,0,0
ASV000024,0,0.008253549,0
ASV000025,0,0.000883041,0
ASV000026,0,0.146687845,0
ASV000027,0,0.024338796,0
ASV000028,0,0,0
ASV000029,0,0,0
ASV000030,0,0.029140359,0
ASV000031,0.010651896,0,0
ASV000032,0,0,0
ASV000033,0,0,0
ASV000034,0,0.122713674,0
ASV000035,0,0,0
ASV000036,0.011916111,0.005271325,0
ASV000037,0,0,0
ASV000038,0,0,0
ASV000039,0,0,0
ASV000040,0,0,0
ASV000041,0,0,0
ASV000042,0,0,0
ASV000043,0,0.060054242,0
ASV000044,0,0.037140971,0
ASV000045,0,0,0
ASV000046,0,0,0
ASV000047,0,0.035490261,0
ASV000048,0,0,0
ASV000049,0,0,0
ASV000050,1.342264396,1.222061996,0.342734038
ASV000051,0,0,0
ASV000052,0.010651896,0,0.204081633
ASV000053,0,0,0
ASV000054,0,0,0
ASV000055,0,0.02207603,0
ASV000056,0,0,0
ASV000057,0,0.018174179,0
ASV000058,0,0,0
ASV000059,0,0,0
ASV000060,0,0.014128659,0
ASV000061,0,0,0
ASV000062,0,0,0
ASV000063,0,0.032451728,0
ASV000064,0,0,0
ASV000065,0,0.000825355,0
ASV000066,0,0.017691588,0
ASV000067,2.726713289,0.790472155,0
ASV000068,0,0.058588357,0
ASV000069,0.003950071,0,0
ASV000070,0,0,0
ASV000071,0,0,0
ASV000072,0.035748332,0.423220332,0
ASV000073,0,0,0
ASV000074,0,0.32917724,0
ASV000075,0,0.650657147,0
ASV000076,0,0,0
ASV000077,0,0.132649873,0
ASV000078,0,0,0
ASV000079,0,0,0
ASV000080,0,0,0
ASV000081,0,0,0
ASV000082,0,0,0
ASV000083,0,0,0
ASV000084,0,0,0
ASV000085,3.341793257,0.411887591,0
ASV000086,0,0.020661157,0
ASV000087,0,0.061983471,0
ASV000088,0.048955614,0.08088478,0
ASV000089,1.693874139,0.583092756,0
ASV000090,0,0.025586002,0
ASV000091,0,0,0
ASV000092,0,0,0.310559006
ASV000093,0,0,0
ASV000094,0.055132885,0,1.886294684
ASV000095,0,0,0
ASV000096,1.77203302,0.601675185,2.577147691
ASV000097,1.616258911,0.493093258,0
ASV000098,0,0,0
