Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K03933,Average,817734,1,0.001864565,0.001864565,0.000556623,0.000556623,,,,,,,
K03933,Average,1111582,2,0.064445219,0.128890438,0.038477246,0.038477246,,,,,,,
K03933,Average,1104592,1,0.000270326,0.000270326,8.07E-05,8.07E-05,,,,,,,
K03933,Average,622288,1,0.001455731,0.001455731,0.000434575,0.000434575,,,,,,,
K03933,Average,646549,2,0.008295113,0.016590226,0.004952627,0.004952627,,,,,,,
K03933,Average,797229,1,0.094295918,0.094295918,0.028149856,0.028149856,,,,,,,
K03933,Average,326605,1,0.00073564,0.00073564,0.000219608,0.000219608,,,,,,,
K03933,Average,624227,1,0.041314894,0.041314894,0.012333602,0.012333602,,,,,,,
K03933,Average,974121,2,0.003926915,0.00785383,0.002344578,0.002344578,,,,,,,
K03933,Average,164660,2,0.002283314,0.004566628,0.001363261,0.001363261,,,,,,,
K03933,Average,939811,1,3.033274522,3.033274522,0.905513642,0.905513642,,,,,,,
K03933,Average,256215,1,0.001081303,0.001081303,0.000322798,0.000322798,,,,,,,
K03933,Average,410196,1,0.001839101,0.001839101,0.000549021,0.000549021,,,,,,,
K03933,Average,4376154,1,0.000810977,0.000810977,0.000242098,0.000242098,,,,,,,
K03933,Average,585394,2,0.001290216,0.002580432,0.000770328,0.000770328,,,,,,,
K03933,Average,1052264,1,0.001351629,0.001351629,0.000403497,0.000403497,,,,,,,
K03933,Average,525816,1,0.00036782,0.00036782,0.000109804,0.000109804,,,,,,,
K03933,Average,922761,2,0.002638175,0.00527635,0.001575132,0.001575132,,,,,,,
K03933,Average,966091,1,0.00036782,0.00036782,0.000109804,0.000109804,,,,,,,
K03933,Average,585063,1,0.002093209,0.002093209,0.000624879,0.000624879,,,,,,,
K03933,Average,331093,1,0.002901992,0.002901992,0.000866322,0.000866322,,,,,,,
K01183,Average,590450,1,0.002162606,0.002162606,1.43E-05,1.43E-05,,,,,,,
K01183,Average,580222,1,0.007088787,0.007088787,4.68E-05,4.68E-05,,,,,,,
K01183,Average,959160,1,0.001582905,0.001582905,1.04E-05,1.04E-05,,,,,,,
