Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K03933,Average,817734,1,0.000515682,0.000515682,0.000707621,0.000707621,,,,,,,
K03933,Average,1111582,2,0.003125485,0.00625097,0.008577608,0.008577608,,,,,,,
K03933,Average,836783,1,0.000970346,0.000970346,0.001331513,0.001331513,,,,,,,
K03933,Average,1104592,1,0.001011318,0.001011318,0.001387735,0.001387735,,,,,,,
K03933,Average,646549,2,0.002814132,0.005628264,0.007723128,0.007723128,,,,,,,
K03933,Average,839235,1,0.00265691,0.00265691,0.003645823,0.003645823,,,,,,,
K03933,Average,797229,1,0.507421379,0.507421379,0.696285791,0.696285791,,,,,,,
K03933,Average,326605,1,0.00080928,0.00080928,0.001110497,0.001110497,,,,,,,
K03933,Average,545460,1,0.004733056,0.004733056,0.00649472,0.00649472,,,,,,,
K03933,Average,236204,1,0.000174595,0.000174595,0.00023958,0.00023958,,,,,,,
K03933,Average,624227,1,0.001549044,0.001549044,0.002125605,0.002125605,,,,,,,
K03933,Average,974121,2,0.001023018,0.002046036,0.002807579,0.002807579,,,,,,,
K03933,Average,152417,1,0.000410543,0.000410543,0.000563349,0.000563349,,,,,,,
K03933,Average,939811,1,0.154507291,0.154507291,0.212015567,0.212015567,,,,,,,
K03933,Average,256215,1,0.00035309,0.00035309,0.000484512,0.000484512,,,,,,,
K03933,Average,410196,1,0.00067028,0.00067028,0.000919761,0.000919761,,,,,,,
K03933,Average,585394,2,0.000778497,0.001556994,0.002136514,0.002136514,,,,,,,
K03933,Average,1052264,1,0.000569825,0.000569825,0.000781916,0.000781916,,,,,,,
K03933,Average,922761,2,0.007554427,0.015108854,0.020732434,0.020732434,,,,,,,
K03933,Average,574051,1,0.002216208,0.002216208,0.00304109,0.00304109,,,,,,,
K03933,Average,585063,1,0.00034919,0.00034919,0.00047916,0.00047916,,,,,,,
K03933,Average,331093,1,0.01924531,0.01924531,0.026408497,0.026408497,,,,,,,
K01183,Average,106281,1,0.116355315,0.116355315,0.014601696,0.014601696,,,,,,,
K01183,Average,554415,1,0.000369447,0.000369447,4.64E-05,4.64E-05,,,,,,,
K01183,Average,4432518,1,0.000790499,0.000790499,9.92E-05,9.92E-05,,,,,,,
K01183,Average,817734,1,0.000515682,0.000515682,6.47E-05,6.47E-05,,,,,,,
K01183,Average,836783,2,0.000970346,0.001940692,0.000243542,0.000243542,,,,,,,
K01183,Average,1104592,1,0.001011318,0.001011318,0.000126913,0.000126913,,,,,,,
K01183,Average,4338598,1,0.009541621,0.009541621,0.0011974,0.0011974,,,,,,,
K01183,Average,357342,1,0.000567885,0.000567885,7.13E-05,7.13E-05,,,,,,,
K01183,Average,275246,3,1.405437762,4.216313286,0.52911483,0.52911483,,,,,,,
K01183,Average,913174,1,0.000176545,0.000176545,2.22E-05,2.22E-05,,,,,,,
K01183,Average,646549,1,0.002814132,0.002814132,0.000353152,0.000353152,,,,,,,
K01183,Average,46681,1,0.00035309,0.00035309,4.43E-05,4.43E-05,,,,,,,
K01183,Average,4447049,1,0.000156544,0.000156544,1.96E-05,1.96E-05,,,,,,,
K01183,Average,3744574,1,0.000174595,0.000174595,2.19E-05,2.19E-05,,,,,,,
K01183,Average,746675,2,0.000410543,0.000821086,0.00010304,0.00010304,,,,,,,
K01183,Average,217732,1,1.436192544,1.436192544,0.180231098,0.180231098,,,,,,,
