Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
ASV0001,23.66706161,19.02654867,28.63327149,49.56779452,33.5106383,20.74279939,29.89060946,43.11659504,21.18406627,8.721054889,24.78655141,36.17998163,12.92360712,15.04713561,47.46974697,3.68174727,15.96663987,18.49489796,9.475374732,38.84127528,29.51757972,21.09678422,39.2970123,23.02904564,10.79196587,17.80038144,15.48397017,18.9272766,17.04048937,25.56058127,11.69546941,18.91723709,29.51673497,13.84870543,18.38402179,45.45820475,47.09530881,44.02720186,26.00305428,12.71729186,2.517985612,0.053377329,29.90392909,39.70331588,20.44089437,28.9975145,39.00877572,9.977349943,14.04561825,29.85856987,17.77988815,28.94124491,37.98498689,34.55238488,5.189399195,8.681734407,23.26974268,3.011607236,4.531740285,23.64581829,20.87946359,6.998847926,2.81420765,0.753336203,12.69465715,2.592105263,3.945393467,1.503330162,14.28761769,3.57261575,3.672105622,4.118263604,6.813661179,2.304832714,2.100648461,2.237817797,19.07949791,1.244920896,1.112759644,1.120827688,6.661577961,1.846359897,2.309562399,1.161913385,16.57312644,9.899320891
ASV0007,13.47748815,1.10619469,3.710575139,2.988392196,0.216965286,7.086912582,11.54993607,0,0.682178097,0.396655232,0.991674179,0,0.229753016,1.051486584,0,22.77691108,23.04059486,4.604591837,0,0.299965718,0.231670755,14.78949821,0,2.051636699,0,2.034329307,4.182363343,0.991682662,8.884357705,1.587912617,0.009341429,14.87243311,0.05976776,0,0.49931911,0.053669663,0.008735913,0.043124896,0.013883104,0,2.458033573,0,1.162963624,2.268760908,2.924620271,0.082850041,0.00719321,0,0,0,0.147726074,0.300562342,0,0,13.15387817,6.023862644,0,15.96779253,18.62177166,4.677988486,0,12.81682028,4.275956284,8.200602669,1.135679257,15.23684211,10.87127439,12.02664129,0,3.78789078,5.329743407,6.467813783,0,10.26022305,6.393277925,4.510946328,0.203227735,7.365781966,5.331973294,13.96723734,0,19.78379413,12.33792545,12.5245209,0,5.442370708
ASV0014,0.059241706,0,0.030921459,0,0.167973124,0.13895907,0.056826254,0.055455428,0.243635035,0.160806175,0.44015485,0.030609122,0.086157381,0.543872371,0.036670334,0.358814353,0.351688103,0.204081633,0,0.119986287,0.299809212,0.077675936,0.119507909,0.795297372,0.322614216,1.017164654,0.407472899,0.45851994,1.019516458,1.917524781,0.177487156,1.057871811,1.041666667,0.405417857,1.906491148,0.268348316,0.122302787,0.159230386,0.166597251,0,0.599520384,0,0.086255614,0.087260035,0.924557376,0,0.143864192,2.01585504,0,0.049451093,0.084414899,0.038782238,0.126616623,0.113320284,0.173442486,0.281307595,0.369713103,0.585590296,0.132754043,1.062710221,1.559332606,1.094470046,1.366120219,0.495049505,1.978835068,3.328947368,1.693946108,1.135426578,2.678095576,1.096952909,0.570928083,1.218447026,2.767785349,1.26394052,1.479587177,0.715042373,7.830245069,2.169966283,0.992210682,0.948392659,2.511970023,2.716923371,3.282009724,2.301192093,7.366292506,0.439283849
ASV0026,0,0,0.030921459,0,0,0,0,0,0,0.016080617,0.037121493,0,0.028719127,0,0,0,0.030144695,0.06377551,0,0,0,0,0,0.080682342,0,0.127145582,0.030752672,0.106632544,0,0.336829949,0.009341429,0,0.554986339,0,0.090785293,0.020126124,0.122302787,0.189086084,0,0,0.299760192,0,0.035691978,0.087260035,0.066039813,0,0,0.033975085,1.50060024,0,0.105518624,0.17452007,0.072352356,0,0.568891356,0.223106024,0,0.951584231,1.074100893,3.380037556,0,7.531682028,1.571038251,2.841153681,0.718403166,2.223684211,0.679007934,1.192515065,0,1.098535813,0.762318747,1.09179841,0.084641754,0.817843866,0.767193351,1.152012712,0.119545726,0.155615112,0.185459941,0.566572238,0,0.334832106,0.050648298,0.120718274,0.041267745,0.223203685
ASV0027,0,0,0,0,0.01399776,0,0,8.304450298,0.012181752,0.005360206,0.00530307,6.529945924,0,0,2.823615695,0,0,0,1.802284083,0,0,0,0.576449912,0,0.135289832,0.190718373,0,0,0,0,0.177487156,0.560049782,0,0.018428084,2.632773491,0,0,0,0.013883104,2.012808783,0,0,0.017845989,0,0,1.491300746,0,0,0,0,0,0,0,6.016276914,0,0,0.310559006,0,0,0,0.031186652,0,0,0,0.391465198,0.013157895,0,0,3.593000533,0,0,0,4.536798002,0,0,0.013241525,0.490137478,0,0,0,4.354312678,0,0,0,0.251733245,0
ASV0029,0,0,0,0,2.176651736,1.844365841,1.44906947,0.152502426,0.07309051,0.032161235,0.265153524,0,0.143595635,0,0,17.23868955,2.743167203,5.12755102,0.035688794,0.008570449,0,0.015535187,0,0.034578147,0.041627641,0.063572791,0,0,0,0,0,0.124455507,0,0.147424675,0.272355878,0,0.017471827,0,0.09718173,0,0,0,0.383688766,0.087260035,2.27994591,0,0.00719321,0,0.06002401,0.059341311,0.474833808,0,0.135660667,0.030905532,0.201193284,0.194005238,0,0.177768483,0.28361091,0.532386868,0,0.144009217,0.12295082,0.150667241,0.004301815,0.631578947,0.250160818,0.678718681,0,0.04432133,0.081097739,0.170320552,0,0.223048327,0.045666271,0.039724576,0,0.726203856,0.50074184,0.320236482,0,1.540227686,0.547001621,0.528142448,0,0.097354799
ASV0043,0,0,0,0.049394912,0.069988802,0.189489641,0.284131269,0.013863857,0,1.591981132,1.346979901,0,0.028719127,0,0.036670334,0,0.020096463,0.038265306,0.089221984,1.782653411,3.188879804,0.015535187,0.506151142,0.495620101,0.322614216,0.317863954,0.522795418,1.610151418,0.640838916,0.72418439,0.074731434,0.746733043,1.818647541,1.704597807,0.726282342,0.120756742,0.253341487,0.199037983,0.180480355,1.280878317,0,0.004852484,0.083281283,0,0.339633322,0,0.122284563,0,0.180072029,2.235189398,0.094966762,0,0.036176178,0.061811064,0.069376995,0.038801048,0.207039337,0.062741817,0.018102824,0.11142981,0.07796663,0,0.013661202,0,0.35274886,0,0.007147452,0,0,0,0,0,0,0.074349442,0,0,0,0,0.009272997,0,0.052043578,0,0,0,0.020633873,0.004749015
ASV0049,5.983412322,1.51179941,3.123067409,3.976290442,0.139977604,2.728650834,4.659752806,0,0.133999269,0,0.037121493,0,0,0.036258158,0,2.574102964,3.044614148,0.612244898,0,0.454233802,0.640501499,5.344104396,0,0.437989857,0,0.826446281,0.299838548,0.383877159,0.058258083,0,0,0.248911014,0.008538251,0,0.226963232,0,0,0.013269199,0,0,0,0,0.029743315,0,0.138369131,0,0,0,0,0,0.021103725,0.17452007,0,0,0.25669488,0.475312833,0,0.700616961,0.893072653,0.00825406,0,0.403225806,0.31420765,0.086095566,0,0.276315789,0.157243943,0.152235966,0,0.001582905,0.016219548,0,0,0,0.082199288,0,0,0.224777384,0.120548961,0.22170218,0,0.181766,0.29376013,0.135808058,0.004126775,0.023745073
ASV0050,0,0,0,0,0,0,0,0,0,0,0,0,0,1.812907904,0,0,0,0,0,0,0,0,0,0,0.041627641,0,0.046129007,0,0,0.016841497,0.028024288,0,0,0.009214042,0,0.248222192,0.279549227,0.199037983,0,1.189387008,1.438848921,0.033967391,0.008922995,0,0,1.242750621,0.079125306,0.045300113,0,0,0,0,0.027132133,0,0.027750798,0.077602095,0.022182786,0,0,0.063968965,0,0.028801843,0,0,0.301127076,0,0.343077693,0.019029496,0.048854148,0.132963989,0.256268855,0.157218971,0.126962631,0,0.091332542,0.101518362,0.167364017,0,0,0,0.128374159,0.009566632,0,0,0.012380324,0.104478321
ASV0052,0.266587678,0.184365782,0.556586271,0.148184737,0.650895857,0.265285498,0.681915045,0.277277138,0.07309051,0.010720412,0.079546057,0.275482094,0.028719127,0,0.421708838,0.23400936,0.552652733,0.140306122,2.016416845,1.396983202,3.406922867,0.652477862,1.722319859,0.322729368,0.197731294,1.144310235,0.115322519,0.565152485,0.17477425,0.002405928,0.046707146,0.186683261,0.315915301,0.340919561,1.679527916,0.107339326,0.07862322,0.066345994,0.249895877,0,0.059952038,0,0.020820321,0,0.783043492,0,0.014386419,0.441676104,0.120048019,3.392344971,0.158277936,0.106651154,0.027132133,0.659318018,0.020813098,0.029100786,0.147885241,0.146397574,0.036205648,0.018571635,0.857632933,0.100806452,0.273224044,0.021523892,0,0.236842105,0.057179615,0.031715826,0.008882572,0.003165809,0.006487819,0,0,0,0.036533017,0,0,0.060516988,0.083456973,0.024633576,0.003469572,0.162632737,0.29376013,0.120718274,0.264113569,0
