Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
ASV0003,0,0,0,0.024697456,0.00699888,0,0,0.041591571,0,0,0.026515352,0.010203041,0.057438254,0.072516316,0.036670334,0,0,0.051020408,0.035688794,0.025711347,0.013627691,0.015535187,0.007029877,0.138312586,0.031220731,1.716465353,0.315214884,0.021326509,0.029129042,0.028871138,0,0.062227754,0.008538251,0,0.862460281,0.120756742,0.20966192,0.242162879,0,0.640439158,0,0,1.835162547,0.523560209,0.638384855,0,0.043159258,0.351075878,0.180072029,0.019780437,0,0,0,0.10301844,9.671153046,6.431273644,0.665483585,0.993412109,5.937726285,2.115102866,0.031186652,5.616359447,6.612021858,8.372793801,0.632366859,8.447368421,11.2858266,7.040913416,1.070349973,24.38148002,32.17633892,38.88112499,16.89026197,24.98141264,24.93378391,32.50353107,6.598924088,13.87568082,19.61238872,20.48281808,4.947609465,5.127714532,4.355753647,7.446808511,2.348134698,3.44303557
ASV0004,0,0,0,0,0.356942889,0.669530066,0.681915045,0.152502426,0.158362773,0.187607204,0.434851779,0.081624324,1.321079839,2.574329224,0.183351669,0,0.170819936,0.012755102,0.017844397,0.119986287,0.122649223,0.124281498,0.042179262,2.466574458,0.135289832,0,1.268547705,0.09596929,0,0.67125397,0.056048575,0,0.62329235,0.027642127,0.090785293,0.449483429,0.751288547,0.723171339,0.138831043,0.091491308,0,0,0.297433152,0.959860384,1.345954275,0.165700083,0.014386419,12.97848245,0.180072029,0,0.643663607,0.038782238,0.298453468,0.236942413,12.41848203,10.51508391,0.835551612,34.3302311,17.13734009,1.225727905,0.015593326,8.208525346,4.836065574,2.755058115,0.696894089,8.973684211,10.7211779,11.28449096,0.111032155,29.06529482,17.77662439,12.13206394,0.300478226,31.30111524,31.11699699,36.0434322,0.191273162,16.08022824,18.90764095,23.67286612,0.180417736,9.566631589,6.685575365,13.42990795,0.041267745,8.940019946
ASV0006,0,0,0.030921459,0.024697456,0.251959686,0.075795856,0.071032817,0.083183142,0.012181752,0.069682676,0.100758339,0.061218243,0,0,0.073340667,0,0,0,0,0.008570449,0,0,0,0,0,0.063572791,0,0,0.058258083,0,0,0.435594275,0,0,0,0,0,0,0,0,0,0,0,0,0.06289506,0,0.057545677,0.158550396,0,0.019780437,0.010551862,0.038782238,0.009044044,0,0,0,0,0,0,0,0,0,0,0,0.008603631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0008,0,0,0,0,0.00699888,0,0,0,0,0.005360206,0.00530307,0,0,0,0.018335167,0,0,0.012755102,0,0.008570449,0,0,0,0.023052098,0.031220731,0,0.061505343,0,0,0.238186893,0.018682858,0,0.008538251,0,0,5.548101436,8.805800646,3.310665119,0.305428294,0,0,0.004852484,0,0,0,0,0,0,0,0,0,0,0.036176178,0,1.200222006,2.638471239,0,0.020913939,0.096548395,3.854646004,0.202713239,0.187211982,0,0,14.06693625,0,0.142949039,0.050745322,0.159886303,0.528690146,0.038926915,0.074242292,0.245461086,0.074349442,0.036533017,0.013241525,0.549910341,0.034581136,0.055637982,0.036950363,0.117965443,0.076533053,0.131685575,0.030179568,0.718058765,1.210998718
ASV0019,0,0,0,0.049394912,0.202967525,0.037897928,0.056826254,0,0.036545255,0.337692967,0.44545792,0.030609122,0.402067777,0,0,0.07800312,0.100482315,0.114795918,0,0.085704491,0.381575361,0.093211123,0.063268893,0.899031812,0.031220731,0,0.115322519,0.170612071,0,0.377730729,0.168145726,0,0.452527322,0.046070211,0,0.214678653,0.323228794,0.205672583,0.069415521,0,0,0,0,0,0.110066354,0,0,0.20385051,0,0,0.26379656,0.17452007,0.452202225,0.05150922,0.77008464,0.397710738,0.110913931,0.397364844,1.285300507,0.491116568,0.031186652,0.547235023,0.983606557,0.860955661,0.068829046,1.368421053,1.765420628,1.516016492,0.097708296,2.846062525,3.522885782,3.869333566,1.599729146,1.338289963,2.721709745,2.493820621,0.932456665,1.486988848,1.817507418,1.933735682,0.170009021,1.243662107,1.600486224,1.576882451,0.074281941,0.384670181
ASV0020,0,0,0.154607297,0.024697456,0.083986562,0.037897928,0,0.027727714,0.341089049,0.412735849,0.397730286,0.010203041,0.315910396,0,0.073340667,0,0,0,0.053533191,0,0,0,0.154657293,0,0.333021126,0,0,0,0.495193708,0,0.429705745,0.248911014,0,0.304063393,0.045392646,0,0,0,0.263778981,0.274473925,0.479616307,0,0.353945451,0.34904014,0.512594736,0.165700083,0.316501223,0.93997735,0.06002401,0.029670656,1.245119764,0.203606748,2.450936059,0.113320284,0,0,3.016858917,0,0,0,0.452206456,0,0,0,1.204508303,0,0,0,1.869781489,0,0,0,7.143764019,0,0,0,11.78720861,0,0,0,9.347026577,0,0,0,2.863981512,0
ASV0021,0,0,0,0,0.069988802,0.012632643,0.085239381,0.055455428,0,0.016080617,0.031818423,0.336700337,0.086157381,0,0.165016502,0.015600624,0.010048232,0,0,0.111415838,0.040883074,0.031070374,0.07029877,0.034578147,0.01040691,0,0.238333205,0.181275325,0.029129042,0.043306708,0.102755722,0,0.085382514,0.073712338,0,0.610492419,0.567834367,0.852546028,0.083298626,0,0,0,0,0,0.047171295,0,0.021579629,0,0,0,0.031655587,0,0.018088089,1.359843412,0.686832246,0.873023572,0.687666371,0.418278783,0.434467777,0.121747384,0.015593326,0.51843318,0.054644809,0.602668963,0.318334337,0.131578947,0.264455722,0.405962575,0.03553029,0.823110408,1.067246245,0.973884182,17.57162808,0.29739777,0.867659147,0.481108757,1.482367005,0.242067952,0.463649852,0.468037936,2.858927208,0.373098632,0.506482982,0.279161008,0.218719049,0.655364012
ASV0023,0,0,0,0,0,0,0,0,0.012181752,0.005360206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011526049,0,0,0,0,0,0,0.009341429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044026542,0,0,0.022650057,0,0,0,0,0.009044044,0,0,0,0,0.01045697,0.048274197,0.047460845,0,0.072004608,0.013661202,0.043047783,0,0.342105263,0.264455722,0.279099271,0,3.943015433,5.277840854,5.668617346,0.004232088,3.271375465,3.269704996,3.703213277,0.011954573,1.25356618,1.548590504,0.99765981,0,0.277432316,0.131685575,0.520597555,0.004126775,0
ASV0024,0,0,0,0,0.104983203,0.050530571,0.085239381,0,0,0.021440823,0.063636846,0,0.114876508,0,0,0.015600624,0.080385852,0.038265306,0,0,0.027255383,0.015535187,0,0.518672199,0,0,0.138387022,0.170612071,0,0.074583774,0.009341429,0,0.162226776,0,0,0.03354354,0.069887307,0.072980594,0,0,0,0,0.002974332,0,0,0,0.014386419,0.611551529,0,0.029670656,0.063311174,0.009695559,0.072352356,0,0.568891356,0.65961781,0,1.892711492,0.404296404,0.553022018,0,0.979262673,0.423497268,3.293155402,0.030112708,0.144736842,0.557501251,1.979067555,0,2.282548476,4.528497745,1.94340117,0,0.594795539,1.854050598,1.094632768,0,0.77807556,1.381676558,0.763640842,0,0.975796422,1.549837925,0.452693526,0,0.833452059
ASV0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029129042,0,0,0,0,0,0.090785293,0,0,0,0,0,0,0,0.03866631,0.261780105,0,0.165700083,0,16.09286523,0,0,0,0,0,0.010301844,0.013875399,0.029100786,0,0.094112726,0.060342747,0.00825406,0,0.028801843,0.081967213,0.043047783,0,0.144736842,0.335930241,0.317158262,0.004441286,2.814404432,3.821325461,2.598480217,0,1.338289963,2.128048224,2.193679379,0,0.639751016,1.288946588,0.973026235,0,0.23916579,0.141815235,0.24898144,0,0.007123522
