#Sample	Metric	Value
L0_7	Weighted NSTI	0.0897800445358
L0_8	Weighted NSTI	0.09787991309
L0_9	Weighted NSTI	0.086663606614
L0_B	Weighted NSTI	0.0928407710069
L10_7	Weighted NSTI	0.0648969259024
L10_8	Weighted NSTI	0.0701508898935
L10_9	Weighted NSTI	0.0732332962883
L10_B	Weighted NSTI	0.060018929047
L11_7	Weighted NSTI	0.0586699503678
L11_8	Weighted NSTI	0.083024350104
L11_9	Weighted NSTI	0.0743119366468
L11_B	Weighted NSTI	0.0582689784387
L12_7	Weighted NSTI	0.0679362433329
L12_9	Weighted NSTI	0.074645343578
L12_B	Weighted NSTI	0.0534331759505
L13_7	Weighted NSTI	0.0788153686095
L13_8	Weighted NSTI	0.0574844004528
L13_9	Weighted NSTI	0.0886631376703
L13_B	Weighted NSTI	0.0642120273482
L14_7	Weighted NSTI	0.0553188028544
L14_8	Weighted NSTI	0.0662119544748
L14_9	Weighted NSTI	0.080180219922
L14_B	Weighted NSTI	0.052995830217
L16_9	Weighted NSTI	0.0564602233422
L16_B	Weighted NSTI	0.0535432608319
L1_7	Weighted NSTI	0.0979520586018
L17_8	Weighted NSTI	0.0663102306404
L17_9	Weighted NSTI	0.0664030540591
L1_8	Weighted NSTI	0.0587371133267
L18_9	Weighted NSTI	0.0812449511634
L18_B	Weighted NSTI	0.0463145221485
L1_9	Weighted NSTI	0.0524504461197
L19_8	Weighted NSTI	0.0829697606251
L19_B	Weighted NSTI	0.0771644137087
L1_B	Weighted NSTI	0.0749643868026
L20_7	Weighted NSTI	0.0554210528558
L20_8	Weighted NSTI	0.0491432382587
L20_9	Weighted NSTI	0.068898915465
L20_B	Weighted NSTI	0.055143730133
L2_B	Weighted NSTI	0.0694588331545
L3_7	Weighted NSTI	0.0353650364339
L3_B	Weighted NSTI	0.00979073393449
L4_7	Weighted NSTI	0.114384068226
L4_8	Weighted NSTI	0.0922044618238
L4_9	Weighted NSTI	0.0720984708164
L5_B	Weighted NSTI	0.0409575476064
L6_7	Weighted NSTI	0.123782732409
L6_B	Weighted NSTI	0.0743658537688
L8_9	Weighted NSTI	0.0714459453295
L8_B	Weighted NSTI	0.12809049654
L9_7	Weighted NSTI	0.0798951780113
L9_8	Weighted NSTI	0.0582693055985
L9_9	Weighted NSTI	0.0782032020427
L9_B	Weighted NSTI	0.067588125384
S16_4	Weighted NSTI	0.0713726535353
S16_5	Weighted NSTI	0.0693516152803
S16_A	Weighted NSTI	0.066456044283
S17_4	Weighted NSTI	0.070872518308
S17_5	Weighted NSTI	0.0717358850095
S17_6	Weighted NSTI	0.064994347522
S17_A	Weighted NSTI	0.0527116263269
S18_4	Weighted NSTI	0.0777614207545
S18_5	Weighted NSTI	0.0742006711089
S18_6	Weighted NSTI	0.0665530288296
S18_A	Weighted NSTI	0.0534661421314
S19_4	Weighted NSTI	0.0762343469864
S19_5	Weighted NSTI	0.0753740221354
S19_6	Weighted NSTI	0.0736469383568
S19_A	Weighted NSTI	0.0910166116191
S20_1_4	Weighted NSTI	0.0781619233902
S20_1_5	Weighted NSTI	0.0807201246425
S20_1_6	Weighted NSTI	0.083169075275
S20_1_A	Weighted NSTI	0.0880440507925
S20_2_4	Weighted NSTI	0.0782818109627
S20_2_5	Weighted NSTI	0.0780412916087
S20_2_6	Weighted NSTI	0.0777848762741
S20_2_A	Weighted NSTI	0.0838606123204
S20_3_4	Weighted NSTI	0.077058627163
S20_3_5	Weighted NSTI	0.0775855269318
S20_3_6	Weighted NSTI	0.0765407433496
S20_3_A	Weighted NSTI	0.0769981524914
S20_4_4	Weighted NSTI	0.0744109489013
S20_4_5	Weighted NSTI	0.0712193596219
S20_4_6	Weighted NSTI	0.0766547567136
S20_4_A	Weighted NSTI	0.0799170788027
S16_6	Weighted NSTI	0.0700841023261
