Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
ASV0045,0,0,0,0,1.994680851,1.781202628,0.781360989,1.039789269,1.157266415,1.039879931,0.901521981,0.744821957,0.516944285,0,0.476714338,0.07800312,0.150723473,0.076530612,0.463954318,0.077134042,0.013627691,0.015535187,0.407732865,0.126786538,1.10313248,0.063572791,0.392096563,0.106632544,0.466064666,0.324800308,1.130312938,0.124455507,0.495218579,0.54362849,0.045392646,0.952636522,1.415217961,1.068170509,1.985283909,0.731930467,0.35971223,0,0.029743315,0,0.213843203,0,0,0,0.420168067,0.009890219,0.728078506,0.562342447,0.587862892,0.10301844,0,0.009700262,0.03697131,0,0,0,0.155933261,0,0,0,0.030112708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0093,0,0,0.030921459,0.024697456,0.020996641,0.025265285,0,0.013863857,0.060908759,0.010720412,0.015909211,0.010203041,0,0,0.110011001,0.031201248,0,0.102040816,0,0.042852245,0,0,0.168717047,0.20746888,0.270579665,0,0.507419082,0.597142248,0,0.632759118,0.214852872,0,0.102459016,0.16585276,0,0.838588488,0.506682974,1.091391607,0.166597251,0,0,0.004852484,0.017845989,0.17452007,0.028302777,0,0,0,0.06002401,0,0,0.048477797,0,0.020603688,0,0,0.03697131,0.115026665,0.030171373,0.084604115,0.046779978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029129042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.891279728,0,0,0,0,0.009044044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063572791,0,0,0,0,0,0.062227754,0,0,0,0,0,0,0,0,0,0,0.229023527,0,0.150948143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0544,0,0,0,0,0.027995521,0.025265285,0.028413127,0.041591571,0.048727007,0.032161235,0.00530307,0.040812162,0,0,0.018335167,0,0.010048232,0,0.035688794,0,0.013627691,0,0.028119508,0.011526049,0.041627641,0,0.046129007,0.010663254,0,0.009623713,0.028024288,0,0.017076503,0.027642127,0,0.067087079,0.05241548,0.039807597,0.055532417,0.091491308,0,0,0.005948663,0,0.006289506,0,0,0,0,0,0.010551862,0.029086678,0.027132133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057630244,0,0,0,0.031989763,0.087387125,0.019247426,0,0,0,0,0.045392646,0.020126124,0.017471827,0.059711395,0,0,0,0,0.03866631,0,0.009434259,0,0.093511725,0,0,0,0,0,0.009044044,0,0,0,0,0,0,0,0,0,0.013661202,0,0,0.052631579,0.028589808,0.025372661,0,0,0,0,0,0,0.009133254,0,0,0,0,0.024633576,0,0.028699895,0.050648298,0.022634676,0,0
ASV0893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006708708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1220,0,0,0,0,0.041993281,0.050530571,0.04261969,0.041591571,0.012181752,0.005360206,0,0.020406081,0,0,0,0,0.020096463,0.012755102,0.035688794,0.008570449,0,0,0,0,0,0,0,0,0,0,0.009341429,0,0,0,0,0.006708708,0,0,0.013883104,0,0,0,0,0,0.006289506,0,0,0,0,0,0.031655587,0.038782238,0,0,0,0,0,0,0,0,0.015593326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1953,0,0,0,0,0,0,0,0,0.012181752,0,0,0.020406081,0,0,0.036670334,0,0,0,0,0.017140898,0,0.015535187,0,0,0,0,0,0,0,0,0,0,0,0.009214042,0,0,0,0,0,0,0,0,0.029743315,0,0,0,0.014386419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2243,0,0,0,0,0,0.050530571,0.014206563,0,0,0,0,0,0,0,0,0.015600624,0.020096463,0,0,0,0,0.015535187,0,0,0.01040691,0,0.023064504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003144753,0,0,0,0,0,0,0,0,0.030905532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2556,0,0,0,0,0,0.012632643,0,0,0,0,0,0.020406081,0,0,0,0,0,0.012755102,0,0.008570449,0,0,0,0,0,0,0,0,0,0,0,0,0.025614754,0,0,0.013417416,0.017471827,0.006634599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2789,0,0,0,0,0,0.012632643,0,0.013863857,0,0,0,0,0,0,0,0,0,0,0.053533191,0,0,0,0,0,0.031220731,0,0,0,0,0,0.018682858,0,0,0,0,0,0,0,0.013883104,0,0,0,0,0,0,0,0,0,0,0,0,0.009695559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2901,0,0,0,0,0,0.012632643,0,0.013863857,0,0,0,0,0,0,0.018335167,0.015600624,0,0.012755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033173,0,0,0,0,0,0,0.012579012,0,0,0,0,0,0,0,0,0.010301844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
