Group,L0_G,L1_G,L8_G,L9_G,L10_G,L12_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_G,L0_R,L1_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L18_R,L20_R,S16_R,S17_R,S20_R
Otu00001,0.960785856,0.622156281,0.761954262,0.934249264,0.894664535,0.019607843,0.102081269,0.85005291,0.491539753,0.393,0.439845845,0.171918939,0.010672219,0.046909108,0.022630116,0.129611469,0.942100098,0.328109696,0.862610402,0.973607038,0.960822723,0.961802155,0.955795678,0.98820059,0.975417896,0.794478528,0.181818182,0.20464135,0.125370188,0.13247012
Otu00002,0,0,0,0.007850834,0.022283452,0,0.482656095,0.057142857,0.015748031,0.04,0.092009864,0.029713124,0.068800176,0.253125319,0.470170359,0.757134487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002944063,0,0,0,0,0,0.000983284,0.001022495,0,0,0,0
Otu00004,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00005,0.000981354,0.00098912,0.006237006,0,0.019303163,0,0.170465808,0.024656085,0.006889764,0,0.000693001,0.470159869,0.254054469,0.518913768,0.18648332,0.045943225,0,0.114593536,0,0,0,0,0,0,0,0,0,0,0,0
Otu00006,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001964637,0,0,0,0,0,0,0
Otu00007,0.001959828,0,0,0,0,0,0,0,0.001968504,0,0,0,0,0,0,0,0,0.03036239,0.003925417,0,0,0,0,0,0,0,0,0,0,0
Otu00008,0.001307191,0.00098912,0.005197505,0.009813543,0.034289544,0,0.219028741,0.022116402,0.003444882,0,0.006711688,0.074859819,0.082687007,0.040355453,0.085233444,0.035144226,0.000981354,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00010,0,0.00098912,0,0.000981354,0,0.019607843,0.005946482,0.002539683,0.022958166,0.006,0.025985812,0.014335834,0.059086914,0.005577751,0.004285225,0.000654879,0.00686948,0,0.001962709,0.000977517,0.000979432,0,0.000982318,0,0.000983284,0,0,0.156118143,0.003948667,0.021912351
Otu00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329056,0,0.000979432,0,0,0,0,0,0,0,0,0,0,0,0.005976096
Otu00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00013,0,0,0,0,0,0,0,0,0,0,0.091343284,0.048052412,0.086568249,0.016720412,0.044080172,0.007875978,0,0,0,0,0,0,0,0,0,0,0.22020202,0.116033755,0.38005923,0.214143426
Otu00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00015,0.001305592,0.008902077,0.050935551,0.004906771,0.001966897,0.111111111,0.00099108,0.005291005,0.164425102,0.069,0.062366964,0.020368409,0.036314243,0.02001216,0.007253567,0.000658111,0.001962709,0,0.005888126,0.000977517,0.001958864,0,0,0,0,0.039877301,0.062626263,0.071729958,0.010858835,0.003984064
Otu00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00017,0,0.005934718,0.005197505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46718903,0,0,0,0,0,0,0,0,0,0,0,0
Otu00018,0,0,0,0.000981354,0,0,0,0,0,0.011,0.012564719,0.021585683,0.048015375,0.00819632,0.015174703,0.001311374,0,0,0,0,0,0,0,0,0,0,0.046464646,0.048523207,0.108588351,0.105577689
Otu00019,0,0,0,0,0,0,0,0,0.012016719,0.008,0,0.004442251,0.006276654,0,0,0.000327439,0,0,0,0,0,0,0,0,0,0,0.009090909,0.002109705,0,0.002988048
Otu00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00022,0,0,0,0,0,0,0,0,0,0,0.010594807,0.007952122,0.117789767,0.01050031,0.00625697,0.000656495,0,0,0,0,0,0,0,0,0,0,0.156565657,0.066455696,0.089832182,0.19123506
Otu00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00024,0.002289827,0.026706231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489716,0,0,0,0,0,0,0,0,0,0,0,0
Otu00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00026,0,0,0,0,0,0,0.004955401,0,0,0.017,0.003397828,0.00148075,0.004020101,0.000328084,0.00494854,0,0.001962709,0,0,0,0,0,0,0,0,0.117586912,0,0.007383966,0,0
Otu00027,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005876592,0,0,0,0,0,0,0,0,0,0,0,0
Otu00030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
