Software Version,3.00.19,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW_C15_d6_plate-2.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_chitinase_fluorescence.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,20/01/2017,,,,,,,,,,,,
Time,10:33:01,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,18.6,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,68490,51894,33224,14409,4530,63,4163,4608,3397,229,4287,3889,"360/40,460/40"
B,2268,2121,2388,2760,2789,3085,3371,3381,3679,313,5383,5870,"360/40,460/40"
C,4502,4468,4582,5168,3640,4001,5563,4833,4620,211,2659,3059,"360/40,460/40"
D,2946,3079,2861,3352,3262,2770,1919,1999,1667,157,1930,2822,"360/40,460/40"
E,3229,3133,3159,4215,4037,3916,2983,2790,2801,243,2591,2265,"360/40,460/40"
F,3213,2514,3206,2250,1795,1855,3930,3488,3586,217,5024,5255,"360/40,460/40"
G,4073,3705,4195,3542,3380,3460,2850,3170,3217,295,5491,5797,"360/40,460/40"
H,3406,3556,3290,3263,3372,3793,3705,3524,2961,243,3195,4232,"360/40,460/40"
