Software Version,3.00.19,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW_C20-4d_MUF-mix_plate-1.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_chitinase_fluorescence.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,12/02/2017,,,,,,,,,,,,
Time,15:46:23,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,18.4,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,68708,47120,31495,15247,4523,51,3459,2751,2799,5900,4832,5063,"360/40,460/40"
B,3270,2661,2414,3102,2542,2641,2713,1964,3236,1557,1097,1531,"360/40,460/40"
C,2084,2788,1862,2120,1817,2153,2054,1733,1559,1391,1621,1391,"360/40,460/40"
D,1776,2989,2041,2820,3112,2957,3688,3223,3696,2617,2214,2405,"360/40,460/40"
E,2987,3255,3400,3060,2557,2639,1829,2080,1899,1673,1685,2065,"360/40,460/40"
F,2347,2337,2280,2188,2717,1937,5012,3485,3099,3057,3277,2852,"360/40,460/40"
G,3746,3134,3193,2899,2796,2607,2282,1882,2240,2531,2282,2141,"360/40,460/40"
H,1839,1937,1900,2323,3409,2454,1393,1889,2245,2092,1111,2325,"360/40,460/40"
