Software Version,3.00.19,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW_C20-1_MUF-mix_plate-3.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_chitinase_fluorescence.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,01/03/2017,,,,,,,,,,,,
Time,16:58:14,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,22,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,53736,42163,8412,140,1654,51,1785,416,1408,1248,973,2341,"360/40,460/40"
B,1480,957,946,1353,1368,1259,1883,1857,1440,537,1556,1510,"360/40,460/40"
C,436,4740,1403,2191,1123,2141,2527,532,1802,493,582,1267,"360/40,460/40"
D,502,1370,1432,1824,1655,1354,1204,1162,1227,552,715,729,"360/40,460/40"
E,582,1191,1056,2367,1149,1886,2246,1959,1653,541,1726,1607,"360/40,460/40"
F,558,2006,1334,574,491,401,637,435,2081,559,1781,1775,"360/40,460/40"
G,542,1764,2087,1701,678,702,1957,1462,1747,702,1031,1241,"360/40,460/40"
H,1854,1801,1833,2027,1077,2142,1401,796,1964,509,2330,773,"360/40,460/40"
