Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\RW_C20-4d_2_MUF-mix_plate-2.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_chitinase_fluorescence.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,10/02/2017,,,,,,,,,,,,,
Time,14:14:17,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,69547,51586,35103,16586,4016,49,17684,460,12566,18791,14269,9405,"360/40,460/40"
,B,7689,13196,9684,8729,6750,9737,8067,36343,6459,11385,16119,9746,"360/40,460/40"
,C,14982,14566,13682,15770,14964,14584,19777,17648,14608,13429,15546,15977,"360/40,460/40"
,D,14004,10767,8736,8793,8761,8143,9473,7503,7678,14908,15854,12731,"360/40,460/40"
,E,12417,14653,13836,17094,17215,12733,14446,27802,15186,13821,14137,13340,"360/40,460/40"
,F,10103,10984,11873,11805,13133,11425,13063,14226,13647,16571,17865,13270,"360/40,460/40"
,G,16223,10578,16340,12125,22075,11874,14838,10279,17606,13404,14118,18134,"360/40,460/40"
,H,13806,8965,13688,18030,16790,14784,13691,18677,10497,8854,7907,7850,"360/40,460/40"
