Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\RW_C3_MUF-mix_plate-4.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,06/10/2016,,,,,,,,,,,,,
Time,12:38:24,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,70990,75255,64386,21987,4342,73,9230,7281,6495,9601,9907,8201,"360/40,460/40"
,B,6396,6205,14539,8910,8135,7088,5047,6330,7557,6047,6414,7056,"360/40,460/40"
,C,8957,6368,8967,10689,8411,5821,4290,3547,7489,9075,5013,4520,"360/40,460/40"
,D,6391,7367,13900,7178,8937,4727,4062,6281,5569,11134,10450,5591,"360/40,460/40"
,E,8783,6687,5647,14477,26311,13978,14622,12076,14621,9942,9501,13038,"360/40,460/40"
,F,10871,12833,9661,11170,10810,9816,11414,10082,8993,8828,11891,8236,"360/40,460/40"
,G,11250,11002,12855,7869,5692,7809,8853,17227,7878,9672,9171,7836,"360/40,460/40"
,H,10203,8686,9014,6611,9224,6195,9932,7851,7843,8565,3052,6411,"360/40,460/40"
