Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\C3\CC6_d8_a_td30.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_chitinase_fluorescence.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,08/02/2018,,,,,,,,,,,,,
Time,10:29:53,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,41,3725,15589,29874,51669,49169,64,3570,14935,32181,51572,65144,"360/40,460/40"
,B,9,271,310,245,327,238,233,244,206,201,179,8,"360/40,460/40"
,C,8,302,272,207,251,269,311,233,165,199,172,10,"360/40,460/40"
,D,10,206,213,189,230,168,206,204,228,221,222,10,"360/40,460/40"
,E,9,11334,15668,10259,10969,12323,13812,11460,14681,12876,14673,11,"360/40,460/40"
,F,8,15894,9959,19727,14098,14729,12848,18904,14814,12987,14316,9,"360/40,460/40"
,G,15,13869,10403,14165,10919,11856,11362,11976,11292,12854,13730,9,"360/40,460/40"
,H,11,9,7,9,9,8,9,9,10,10,10,11,"360/40,460/40"
