Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\C3\CC5_d5_b_td32.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_chitinase_fluorescence.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,10/02/2018,,Multiplied all samples by 1.38 as added 26ul instead of 36ul,,,,,,,,,,,
Time,17:42:59,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,49,7166,24096,32950,47041,47595,50,6335,19204,31021,43983,51208,"360/40,460/40"
,B,7,1359,152,418,472,1751,395,684,1925,479,751,7,"360/40,460/40"
,C,8,727,718,1351,364,495,791,639,658,322,495,8,"360/40,460/40"
,D,8,426,1043,722,867,1103,424,400,382,593,326,8,"360/40,460/40"
,E,9,20496,18056,12112,10193,9697,10970,1060,11598,17227,31688,9,"360/40,460/40"
,F,8,12322,14605,6624,10277,7387,9454,7209,10438,7809,15215,9,"360/40,460/40"
,G,8,33299,23156,36542,22388,24518,21473,27506,28348,34475,24369,9,"360/40,460/40"
,H,9,9,8,9,20,9,8,9,8,9,8,8,"360/40,460/40"
