Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\C3\CC15_d2_c_td43.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_chitinase_fluorescence.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,21/02/2018,,,,,,,,,,,,,
Time,10:52:07,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,44,4260,14942,29098,48158,55593,49,4832,17815,29831,48960,55907,"360/40,460/40"
,B,8,3032,1550,5782,6575,1714,3558,3145,1834,4082,2681,8,"360/40,460/40"
,C,8,2839,2523,2320,2045,1541,2387,2025,2802,1037,1660,10,"360/40,460/40"
,D,9,2084,2719,2894,1881,3835,3458,3009,3213,3679,2262,9,"360/40,460/40"
,E,8,371,282,325,273,292,218,342,264,315,259,10,"360/40,460/40"
,F,9,345,224,250,307,245,235,207,267,349,259,9,"360/40,460/40"
,G,9,282,175,260,287,215,373,241,225,180,203,11,"360/40,460/40"
,H,12,9,9,9,9,9,10,8,9,9,17,10,"360/40,460/40"
