Group,C1plt4,C3plt4,C4plt4,K1plt4,K2plt4,K3plt4,K4plt4,K5plt4,L07plt3,L08plt3,L09plt3,L0Aplt3,L0Bplt3,L107plt3,L108plt3,L109plt3,L10Aplt3,L10Bplt3,L11Aplt3,L11Bplt3,L129plt3,L12Aplt3,L12Bplt3,L137plt3,L13Aplt3,L13Bplt3,L148plt3,L149plt3,L14Aplt3,L14Bplt3,L15Aplt4,L16Aplt4,L178plt4,L179plt4,L17Aplt4,L17plt3,L18Aplt4,L18Bplt4,L198plt4,L19Aplt4,L1Aplt3,L1Bplt3,L207plt4,L208plt4,L209plt4,L20Aplt4,L20Bplt4,L2Aplt3,L3Aplt3,L4Aplt3,L5Aplt3,L6Aplt3,L89plt3,L8Aplt3,L8Bplt3,L97plt3,L9Aplt3,L9Bplt3,PAplt4,PBplt4,PEAplt4,PEB1plt4,PET8plt4,PFW1plt4,PFW2plt4,PFW3plt4,PFW4plt4,PLW1plt4,PLW2plt4,PLW3plt4,PLW4plt4,PSAplt4,PSB1plt4,PSB2plt4,PSB3plt4,S164plt4,S165plt4,S16Aplt4,S174plt4,S175plt4,S176plt4,S17Aplt4,S184plt4,S185plt4,S186plt4,S194plt4,S195plt4,S196plt4,S2014plt4,S2015plt4,S2016plt4,S201Aplt4,S2024plt4,S2025plt4,S2026plt4,S202Aplt4,S2034plt4,S2035plt4,S2036plt4,S2044plt4,S2045plt4,S2046plt4,S204Aplt4,S66plt4,negplt4G12,negplt4H12
Otu00001,3,3,34,0,0,0,97,0,950,993,999,266,960,973,822,945,0,981,1,982,3,0,973,103,0,1005,594,775,0,992,0,0,78,916,0,629,0,777,393,1,213,335,443,582,286,0,180,18,1,8,0,0,733,0,879,952,0,996,947,965,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,149,196,194,0,16,16,127,0,33,110,6,3,60,0,19,0,224,64,27,10,79,131,126,158,151,119,125,133,46,0,0
Otu00002,2,0,227,0,0,2,692,0,0,0,0,0,0,2,58,8,0,0,0,0,0,0,0,487,0,0,20,80,0,0,0,0,0,32,0,0,0,0,40,0,0,0,95,74,103,0,0,0,0,0,1,0,0,0,0,8,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,5,0,0,182,25,0,272,197,303,535,343,552,24,11,20,0,373,293,62,1,686,610,582,775,766,766,0,8,0,0
Otu00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,347,0,0,192,0,0,366,0,0,0,260,1,585,530,0,0,188,0,770,1,0,179,0,0,0,0,0,715,0,108,88,316,24,416,0,372,3,0,659,0,0,0,0,0,0,0,0,0,0,17,9,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00004,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,867,662,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Otu00005,2,0,9,0,0,0,34,0,3,0,0,0,0,3,39,17,0,0,0,0,0,0,0,172,0,0,14,27,0,0,0,0,0,14,0,1,0,0,0,0,0,117,0,0,2,0,0,14,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,421,0,0,630,134,0,439,709,436,235,149,183,23,1,15,0,71,85,4,0,108,96,76,41,39,60,0,144,0,0
Otu00006,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,163,0,81,0,1,613,2,0,272,0,0,0,235,0,323,352,0,0,425,0,31,0,0,357,480,0,0,0,0,57,0,553,497,303,11,50,0,277,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00007,0,2,0,0,0,0,0,0,3,0,3,60,0,0,0,0,204,0,265,0,0,29,0,0,146,0,0,0,313,0,61,78,0,4,319,0,57,0,0,171,30,31,0,0,0,184,0,6,26,0,95,50,0,202,4,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00008,0,0,13,0,0,0,25,0,2,2,0,0,1,31,36,38,0,0,0,0,0,0,0,221,0,0,2,39,0,0,0,0,0,7,0,1,0,0,0,0,23,0,0,13,7,0,0,0,0,0,0,0,5,0,0,10,0,0,51,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,121,0,0,20,227,0,0,24,99,109,89,61,0,6,0,0,89,173,20,0,76,155,196,16,51,40,0,0,0,0
Otu00009,262,26,112,464,43,8,16,284,3,0,1,28,5,1,8,0,0,1,4,0,868,59,1,12,2,2,346,80,30,3,3,3,64,8,9,1,6,41,24,27,12,0,29,13,57,1,33,29,32,0,22,0,63,0,8,5,1,0,4,0,0,21,0,0,0,2,0,2,0,1,0,1,16,41,36,32,9,72,0,20,45,9,9,2,4,11,12,5,106,13,5,11,8,27,658,181,1,2,1,2,5,0,18,136,3,24
Otu00010,2,30,11,84,14,99,1,18,0,0,0,4,7,0,0,0,0,1,2,0,3,6,1,6,0,0,2,2,0,1,1,2,43,1,1,1,2,0,6,38,3,0,0,62,16,4,0,14,46,28,0,0,0,4,2,1,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,1,0,12,17,2,27,148,23,2,152,4,16,0,1,3,9,1,54,4,12,0,5,31,6,17,0,1,0,2,0,0,22,274,500,0
