Group,S20_1_G_mean,S20_1_G_std,S20_2_G_mean,S20_2_G_std,S20_3_G_mean,S20_3_G_std,S20_4_G_mean,S20_4_G_std,S20_4_R_mean,S20_4_R_std,krusk_stats,krusk_p
Otu00002,0.017961066,0.005326012,0.23596869,0.128947489,0.613100492,0.04266668,0.753196402,0.000740606,0,0,9.409090909,0.024318409
Otu00055,0.155882353,0.220450938,0,0,0,0,0,0,0,0,2.666666667,0.445921698
Otu00013,0.218448384,0.0435355,0.042629157,0.039396484,0.003589655,0.003228412,0.008852467,0.002958557,0.21037182,0,7.833333333,0.04958476
Otu00008,0.001960784,0.002772968,0.090853289,0.059576258,0.139431145,0.048822524,0.044734155,0.005364077,0,0,7.382039574,0.060668095
Otu00003,0,0,0.0879171,0.12365816,0,0,0,0,0,0,5.866666667,0.118280477
Otu00001,0.00620915,0.008781065,0.03286316,0.022286606,0.135486565,0.01375316,0.119963685,0.003067811,0.130136986,0,8.96499239,0.029759971
Otu00022,0.042138956,0.020121108,0.017980465,0.014833482,0.001960784,0.002772968,0.000491159,0.000491159,0.187866928,0,5.765873016,0.123573544
Otu00005,0.012735505,0.008911744,0.051685911,0.034097905,0.091409873,0.012895922,0.048682765,0.010372353,0,0,6.742424242,0.080576846
Otu00046,0.074051904,0.089906119,0,0,0,0,0.000983285,9.67E-07,0.039138943,0,6.443089431,0.09193414
Otu00018,0.05680263,0.02696095,0.002877479,0.003397245,0.000652955,0.00046171,0.000491159,0.000491159,0.1037182,0,6.728395062,0.081077513
Otu00015,0.030380006,0.030768768,0.041319939,0.027441762,0,0,0.000982318,0.000982318,0.003913894,0,5.816666667,0.120878565
Otu00006,0,0,0.027230971,0.038510409,0,0,0,0,0,0,2.666666667,0.445921698
Otu00040,0.030338437,0.036842373,0.000656168,0.000927962,0,0,0,0,0.01369863,0,4.411764706,0.220297002
Otu00069,0.026129082,0.022957358,0.000318674,0.000450674,0,0,0.001474444,0.000490192,0,0,5.477477477,0.139991937
Otu00045,0.024829567,0.021989973,0.010919172,0.008612398,0.000326797,0.000462161,0,0,0.015655577,0,8.079365079,0.044399631
Otu00052,0.018627451,0.026343194,0.005874694,0.006962663,0,0,0,0,0.007827789,0,3.333333333,0.343030146
Otu00010,0.022868143,0.021503164,0.013476271,0.011433731,0.000326797,0.000462161,0,0,0.021526419,0,7.952380952,0.047006168
Otu00140,0,0,0.014350946,0.020295302,0,0,0,0,0,0,2.666666667,0.445921698
