OTU,ID
ASV3131,905618
ASV2455,1050608
ASV1685,103390
ASV2091,1108350
ASV3092,737649
ASV1663,1126893
ASV1330,1074625
ASV0590,1074625
ASV2533,1074625
ASV3578,1074625
ASV1932,4376154
ASV3256,1106130
ASV0704,572970
ASV1139,572970
ASV1235,572970
ASV2532,113533
ASV3431,689528
ASV3010,689528
ASV2390,689528
ASV2049,545862
ASV6451,2297613
ASV3123,2297613
ASV2114,2297613
ASV1850,959160
ASV0812,339532
ASV2737,790384
ASV1403,790384
ASV4302,790384
ASV1592,790384
ASV0936,790384
ASV0935,790384
ASV2723,471180
ASV3127,187652
ASV3734,997371
ASV2452,380567
ASV2301,821644
ASV1255,821644
ASV2277,851567
ASV1176,851567
ASV0294,278795
ASV0209,828667
ASV2739,828667
ASV1679,591049
ASV0876,1087556
ASV1943,1087556
ASV2088,1096010
ASV2105,543740
ASV0474,966091
ASV0918,1047041
ASV2221,220524
ASV1591,814909
ASV2851,814909
ASV1861,814909
ASV0518,814909
ASV2609,387744
ASV3531,1113958
ASV1533,4422519
ASV1829,4343647
ASV1208,646129
ASV1098,12457
ASV2870,28246
ASV1796,823671
ASV3386,1049277
ASV3205,585547
ASV0101,624227
ASV1636,206826
ASV1868,420127
ASV1549,547232
ASV1933,287021
ASV0541,1040713
ASV3143,1090029
ASV3684,511542
ASV3110,356574
ASV3254,4461906
ASV0337,1101451
ASV2943,541375
ASV4211,357342
ASV3056,12574
ASV0901,12574
ASV1393,12574
ASV3007,529444
ASV0167,4294457
ASV3713,732609
ASV3879,1060029
ASV1298,1066410
ASV2215,331093
ASV1023,331093
ASV2608,585063
ASV0542,585063
ASV3290,279978
ASV1913,1011712
ASV0885,1011712
ASV0957,1107468
ASV3880,1107468
ASV0796,12290
ASV0537,176591
ASV3981,1028133
ASV2046,242577
ASV0889,903426
ASV0360,903426
ASV1456,903426
ASV0206,903426
ASV2681,903426
ASV2680,903426
ASV3365,977756
ASV2096,525816
ASV0728,292521
ASV1849,978664
ASV0802,996116
ASV1979,996116
ASV3599,996116
ASV3830,545460
ASV3210,12763
ASV2003,875735
ASV3318,804621
ASV0764,826611
ASV0606,359098
ASV3213,222818
ASV4187,918840
ASV2759,890516
